SU_ID,FINALWT,WEIGHTPOP,SURV_MODE,SURV_LANG,CUR1,CUR3AB,BB2A_A,BB2A_B,BB2A_C,BB2B_A,BB2B_B,BB2B_C,PRIV1,PRIV2A,PRIV2B,PRIV2C,PRIV2D,PRIV2E,PRIV2F,PRIV3A,PRIV3B,PRIV3C,PRIV3D,PRIV4A,PRIV4B,PRIV4C,PRIV4D,PRIV4E,PRIV4F,PRIV5,PRIV6,PRIV7A,PRIV7B,PRIV7C,PRIV7D,PRIV8,PRIV9A,PRIV9B,PRIV9C,PRIV9D,PRIV9E,PRIV9F,PRIV10A,PRIV10B,PRIV10C,PRIV10D,PRIV11,TEACH1,TEACH2A,TEACH2B,TEACH2C,TEACH2D,TEACH2E,TEACH2F,TEACH2G,TEACH3,TEACH4,TEACH5,TEACH6A,TEACH6B,TEACH6C,TEACH6D,POLITICS,DEMO,REPUB,INDEP,DP1,D4A,D4B,D4C,IDEO,URBAN,MARITAL,AGEGRP,EMPSTATUS,EDUCATION,RACETH,HHINCOME,GENDER,STATE,CENSUS_REGION
2534,0.4426078754,95636.297086,(1) Phone interview,(1) English,(1) Right direction,(2) Somewhat approve,(2) Somewhat better,(2) Somewhat better,(3) About the same,(4) Somewhat worse,(4) Somewhat worse,(4) Somewhat worse,(2) No,,,,,,,,,,,,,,,,,,,,,,,(1) A lot,,,,,,,(2) Large,(2) Large,(1) Very large,(2) Large,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(4) Somewhat too little,(4) Very important,(4) Very important,(4) Very important,(4) Very important,(3) Moderately important,(4) Very important,(4) Very important,(2) Somewhat support,(3) Only a little,(4) Somewhat disapprove,(2) Large,(2) Large,(2) Large,(2) Large,(2) Republican,,(2) Moderate Republican,,(2) No,,,,(2) Conservative,(3) Rural area,(2) Widowed,(5) 65 and older,(2) Not employed,(3) Some college,"(1) White, non-Hispanic","(3) $20,000 to under $30,000",(1) Male,(OR) Oregon,(4) West
2537,3.6059735773,779159.11461,(2) Web Interview,(1) English,(1) Right direction,(2) Somewhat approve,(3) About the same,(3) About the same,(2) Somewhat better,(3) About the same,(3) About the same,(4) Somewhat worse,(1) Yes,(2) Several times a day,(6) Never,(2) Several times a day,(3) Once a day,(4) At least once a week,(6) Never,(3) Moderately concerned,(4) Not very concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(2) Very concerned,(4) Not very concerned,(4) Not very concerned,(4) Not too difficult,(4) Hardly ever,(3) Some accounts,(2) Most accounts,(5) No accounts,(4) A few accounts,(4) Nothing at all,,,,,,,(1) Very large,(3) Moderate,(2) Large,(4) Small,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(5) Far too little,(2) Slightly important,(3) Moderately important,(3) Moderately important,(2) Slightly important,(1) Not at all important,(3) Moderately important,(4) Very important,(2) Somewhat support,(4) Nothing at all,(2) Somewhat approve,(3) Moderate,(2) Large,(3) Moderate,(2) Large,(2) Republican,,(2) Moderate Republican,,(2) No,,,,(2) Conservative,(1) Urban area,(5) Never married,(1) 18-29,(2) Not employed,(2) High school graduate or equivalent,"(1) White, non-Hispanic","(7) $75,000 to under $100,000",(2) Female,(NC) North Carolina,(3) South
2540,0.6244909861,134936.60821,(2) Web Interview,(1) English,(1) Right direction,(1) Strongly approve,(1) Much better,(1) Much better,(1) Much better,(3) About the same,(3) About the same,(2) Somewhat better,(1) Yes,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(2) Very concerned,(2) Very concerned,(2) Very concerned,(2) Very concerned,,,,,,,,(4) Hardly ever,(4) A few accounts,(2) Most accounts,(5) No accounts,(5) No accounts,(1) A lot,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(1) I have done this,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(1) Very large,(3) Moderate,(3) Moderate,(3) Moderate,"(1) It’s better to keep services provided by online companies such as Google and Facebook free and accessible to anyone who wants to access these services, even if it means your private information might be sold to a third party.",(3) About the right amount,(3) Moderately important,(4) Very important,(3) Moderately important,(4) Very important,(4) Very important,(1) Not at all important,(4) Very important,(4) Somewhat oppose,(1) A lot,(4) Somewhat disapprove,(1) Very large,(4) Small,(3) Moderate,(2) Large,(4) None of these,,,(2) Lean Republican,(2) No,,,,(2) Conservative,(2) Suburban area,(1) Married,(4) 60-64,(1) Employed,(4) College graduate,"(1) White, non-Hispanic","(9) $150,000 or more",(1) Male,(MI) Michigan,(2) Midwest
2546,0.4472257179,96634.09532,(2) Web Interview,(1) English,(2) Wrong direction,(2) Somewhat approve,(2) Somewhat better,(2) Somewhat better,(3) About the same,(3) About the same,(3) About the same,(4) Somewhat worse,(1) Yes,(2) Several times a day,(6) Never,(5) Less often,(6) Never,(6) Never,(5) Less often,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(3) Moderately difficult,(4) Hardly ever,(5) No accounts,(1) All accounts,(5) No accounts,(5) No accounts,(3) Only a little,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(1) I have done this,(2) I have not done this but I have considered it,(2) Large,(2) Large,(1) Very large,(4) Small,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(5) Far too little,(2) Slightly important,(5) Extremely important,(5) Extremely important,(3) Moderately important,(1) Not at all important,(5) Extremely important,(5) Extremely important,(3) Neither support nor oppose,(4) Nothing at all,(3) Neither approve nor disapprove,(1) Very large,(1) Very large,(1) Very large,(1) Very large,(4) None of these,,,(2) Lean Republican,(2) No,,,,(3) Moderate,(2) Suburban area,(5) Never married,(3) 40-59,(1) Employed,(4) College graduate,"(1) White, non-Hispanic","(4) $30,000 to under $40,000",(2) Female,(VA) Virginia,(3) South
2553,0.2625106559,56721.871594,(2) Web Interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(5) Much worse,(5) Much worse,(1) Much better,(5) Much worse,(5) Much worse,(5) Much worse,(1) Yes,(1) Almost constantly,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(2) Very concerned,(2) Very concerned,(3) Moderately concerned,(2) Very concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(3) Moderately difficult,(3) Sometimes,(1) All accounts,(5) No accounts,(5) No accounts,(1) All accounts,(2) Some,(1) I have done this,(1) I have done this,(1) I have done this,(1) I have done this,(1) I have done this,(1) I have done this,(1) Very large,(1) Very large,(1) Very large,(3) Moderate,"(1) It’s better to keep services provided by online companies such as Google and Facebook free and accessible to anyone who wants to access these services, even if it means your private information might be sold to a third party.",(3) About the right amount,(5) Extremely important,(5) Extremely important,(5) Extremely important,(5) Extremely important,(3) Moderately important,(1) Not at all important,(4) Very important,(5) Strongly oppose,(4) Nothing at all,(5) Strongly disapprove,(1) Very large,(1) Very large,(1) Very large,(1) Very large,(1) Democrat,(2) Moderate Democrat,,,(1) Yes,(1) Yes,(2) No,(2) No,(1) Liberal,(1) Urban area,(5) Never married,(2) 30-39,(1) Employed,(3) Some college,"(2) African American, non-Hispanic","(3) $20,000 to under $30,000",(1) Male,(MO) Missouri,(2) Midwest
2554,0.6255576377,135167.08447,(2) Web Interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(4) Somewhat worse,(4) Somewhat worse,(3) About the same,(5) Much worse,(5) Much worse,(5) Much worse,(1) Yes,(4) At least once a week,(6) Never,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(3) Moderately concerned,(2) Very concerned,(2) Very concerned,(3) Moderately concerned,(2) Very concerned,(3) Moderately concerned,(2) Very concerned,(2) Very concerned,(1) Extremely concerned,(2) Very concerned,(3) Moderately difficult,(4) Hardly ever,(2) Most accounts,(5) No accounts,(5) No accounts,(3) Some accounts,(1) A lot,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(1) I have done this,(3) I have not done this and I have not considered it,(2) Large,(2) Large,(2) Large,(2) Large,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(5) Far too little,(3) Moderately important,(3) Moderately important,(3) Moderately important,(2) Slightly important,(2) Slightly important,(4) Very important,(4) Very important,(1) Strongly support,(1) A lot,(1) Strongly approve,(4) Small,(1) Very large,(1) Very large,(4) Small,(1) Democrat,(1) Strong Democrat,,,(2) No,,,,(1) Liberal,(1) Urban area,(1) Married,(4) 60-64,(1) Employed,(4) College graduate,"(1) White, non-Hispanic","(7) $75,000 to under $100,000",(1) Male,(IL) Illinois,(2) Midwest
2555,0.3505596687,75747.022338,(2) Web Interview,(1) English,(1) Right direction,(2) Somewhat approve,(2) Somewhat better,(1) Much better,(2) Somewhat better,(3) About the same,(3) About the same,(2) Somewhat better,(1) Yes,(2) Several times a day,(6) Never,(5) Less often,(5) Less often,(6) Never,(5) Less often,(4) Not very concerned,(4) Not very concerned,(4) Not very concerned,(4) Not very concerned,(4) Not very concerned,(2) Very concerned,(3) Moderately concerned,(4) Not very concerned,(4) Not very concerned,(3) Moderately concerned,(3) Moderately difficult,(5) Never,(3) Some accounts,(4) A few accounts,(5) No accounts,(4) A few accounts,(1) A lot,(1) I have done this,(1) I have done this,(1) I have done this,(1) I have done this,(1) I have done this,(1) I have done this,(1) Very large,(3) Moderate,(2) Large,(4) Small,"(1) It’s better to keep services provided by online companies such as Google and Facebook free and accessible to anyone who wants to access these services, even if it means your private information might be sold to a third party.",(4) Somewhat too little,(2) Slightly important,(3) Moderately important,(3) Moderately important,(4) Very important,(1) Not at all important,(3) Moderately important,(3) Moderately important,(5) Strongly oppose,(1) A lot,(3) Neither approve nor disapprove,(3) Moderate,(3) Moderate,(3) Moderate,(3) Moderate,(2) Republican,,(1) Strong Republican,,(2) No,,,,(2) Conservative,(2) Suburban area,(1) Married,(2) 30-39,(1) Employed,(4) College graduate,"(1) White, non-Hispanic","(8) $100,000 to under $150,000",(1) Male,(OH) Ohio,(2) Midwest
2562,0.5255301665,113553.69374,(2) Web Interview,(1) English,(2) Wrong direction,(6) Somewhat disapprove,(4) Somewhat worse,(2) Somewhat better,(3) About the same,(4) Somewhat worse,(4) Somewhat worse,(4) Somewhat worse,(1) Yes,(4) At least once a week,(5) Less often,(6) Never,(6) Never,(4) At least once a week,(6) Never,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(2) Very concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(4) Not very concerned,(4) Not very concerned,(4) Not too difficult,(4) Hardly ever,(2) Most accounts,(5) No accounts,(5) No accounts,(4) A few accounts,(2) Some,(1) I have done this,(1) I have done this,(1) I have done this,(1) I have done this,(1) I have done this,(1) I have done this,(1) Very large,(3) Moderate,(3) Moderate,(3) Moderate,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(5) Far too little,(4) Very important,(4) Very important,(3) Moderately important,(2) Slightly important,(2) Slightly important,(4) Very important,(4) Very important,(1) Strongly support,(2) Some,(1) Strongly approve,(2) Large,(2) Large,(1) Very large,(4) Small,(2) Republican,,(2) Moderate Republican,,(1) Yes,(1) Yes,(1) Yes,(2) No,(2) Conservative,(2) Suburban area,(1) Married,(3) 40-59,(1) Employed,(4) College graduate,"(1) White, non-Hispanic","(7) $75,000 to under $100,000",(1) Male,(UT) Utah,(4) West
2564,0.2983551031,64466.944352,(1) Phone interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(5) Much worse,(5) Much worse,(5) Much worse,(3) About the same,(5) Much worse,(3) About the same,(1) Yes,(2) Several times a day,(7) Do not have account,(7) Do not have account,(7) Do not have account,(7) Do not have account,(5) Less often,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(2) Very concerned,(5) Not at all concerned,(3) Moderately concerned,(2) Very difficult,(4) Hardly ever,(2) Most accounts,(2) Most accounts,(5) No accounts,(2) Most accounts,(3) Only a little,(1) I have done this,(2) I have not done this but I have considered it,(3) I have not done this and I have not considered it,(2) I have not done this but I have considered it,(1) I have done this,(1) I have done this,(2) Large,(5) None at all,(1) Very large,(3) Moderate,"(1) It’s better to keep services provided by online companies such as Google and Facebook free and accessible to anyone who wants to access these services, even if it means your private information might be sold to a third party.",(5) Far too little,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(4) Very important,(4) Very important,(4) Very important,(3) Moderately important,(3) Moderately important,(4) Very important,(1) Strongly support,(1) A lot,(1) Strongly approve,(2) Large,(1) Very large,(1) Very large,(1) Very large,(1) Democrat,(2) Moderate Democrat,,,(2) No,,,,(1) Liberal,(2) Suburban area,(3) Divorced,(5) 65 and older,(1) Employed,(3) Some college,"(1) White, non-Hispanic","(3) $20,000 to under $30,000",(2) Female,(KS) Kansas,(2) Midwest
2565,0.3802262051,82157.205802,(2) Web Interview,(1) English,(2) Wrong direction,(6) Somewhat disapprove,(4) Somewhat worse,(4) Somewhat worse,(3) About the same,(4) Somewhat worse,(4) Somewhat worse,(4) Somewhat worse,(1) Yes,(3) Once a day,(6) Never,(6) Never,(6) Never,(6) Never,(6) Never,(3) Moderately concerned,(3) Moderately concerned,(2) Very concerned,(3) Moderately concerned,(2) Very concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately difficult,(3) Sometimes,(5) No accounts,(4) A few accounts,(5) No accounts,(5) No accounts,(2) Some,(1) I have done this,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(1) I have done this,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(3) Moderate,(2) Large,(2) Large,(2) Large,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(3) About the right amount,(2) Slightly important,(4) Very important,(4) Very important,(2) Slightly important,(1) Not at all important,(3) Moderately important,(3) Moderately important,(2) Somewhat support,(2) Some,(2) Somewhat approve,(3) Moderate,(2) Large,(2) Large,(3) Moderate,(1) Democrat,(2) Moderate Democrat,,,(2) No,,,,(3) Moderate,(2) Suburban area,(1) Married,(3) 40-59,(1) Employed,(3) Some college,"(1) White, non-Hispanic","(9) $150,000 or more",(2) Female,(MO) Missouri,(2) Midwest
2573,0.3595769482,77695.426938,(2) Web Interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(4) Somewhat worse,(3) About the same,(3) About the same,(5) Much worse,(5) Much worse,(5) Much worse,(1) Yes,(4) At least once a week,(7) Do not have account,(7) Do not have account,(5) Less often,(5) Less often,(7) Do not have account,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(4) Not very concerned,(3) Moderately concerned,(1) Extremely concerned,(1) Extremely concerned,(2) Very concerned,(4) Not very concerned,(4) Not too difficult,(4) Hardly ever,(2) Most accounts,(1) All accounts,(5) No accounts,(3) Some accounts,(1) A lot,(3) I have not done this and I have not considered it,(1) I have done this,(3) I have not done this and I have not considered it,(1) I have done this,(1) I have done this,(3) I have not done this and I have not considered it,(1) Very large,(2) Large,(1) Very large,(2) Large,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(5) Far too little,(3) Moderately important,(5) Extremely important,(4) Very important,(3) Moderately important,(2) Slightly important,(3) Moderately important,(3) Moderately important,(2) Somewhat support,(2) Some,(2) Somewhat approve,(2) Large,(5) None at all,(1) Very large,(2) Large,(1) Democrat,(2) Moderate Democrat,,,(1) Yes,(1) Yes,(2) No,(2) No,(3) Moderate,(2) Suburban area,(4) Separated,(3) 40-59,(2) Not employed,(4) College graduate,"(2) African American, non-Hispanic","(2) $10,000 to under $20,000",(2) Female,(GA) Georgia,(3) South
2575,0.3873584404,83698.300335,(1) Phone interview,(1) English,(1) Right direction,(1) Strongly approve,(2) Somewhat better,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(2) Somewhat better,(2) Somewhat better,(4) Somewhat worse,(4) Somewhat worse,(1) Yes,(2) Several times a day,(7) Do not have account,(7) Do not have account,(5) Less often,(7) Do not have account,(7) Do not have account,(2) Very concerned,(3) Moderately concerned,(3) Moderately concerned,(3) Moderately concerned,(4) Not very concerned,(3) Moderately concerned,(4) Not very concerned,(3) Moderately concerned,(3) Moderately concerned,(5) Not at all concerned       7,(3) Moderately difficult,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(3) Some accounts,(1) All accounts,(5) No accounts,(5) No accounts,(3) Only a little,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(1) I have done this,(3) I have not done this and I have not considered it,(1) Very large,(2) Large,(3) Moderate,(5) None at all,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(4) Somewhat too little,(3) Moderately important,(4) Very important,(4) Very important,(1) Not at all important,(5) Extremely important,(4) Very important,(4) Very important,(4) Somewhat oppose,(2) Some,(3) Neither approve nor disapprove,(2) Large,(3) Moderate,(3) Moderate,(2) Large,(3) Independent,,,(2) Lean Republican,(2) No,,,,(2) Conservative,(1) Urban area,(1) Married,(5) 65 and older,(2) Not employed,(3) Some college,"(1) White, non-Hispanic","(2) $10,000 to under $20,000",(2) Female,(TX) Texas,(3) South
2595,0.7221934,156047.61322,(2) Web Interview,(1) English,(1) Right direction,(2) Somewhat approve,(3) About the same,(3) About the same,(2) Somewhat better,(3) About the same,(4) Somewhat worse,(4) Somewhat worse,(1) Yes,(2) Several times a day,(6) Never,(5) Less often,(2) Several times a day,(6) Never,(6) Never,(4) Not very concerned,(4) Not very concerned,(4) Not very concerned,(4) Not very concerned,(3) Moderately concerned,(4) Not very concerned,(4) Not very concerned,(4) Not very concerned,(4) Not very concerned,(4) Not very concerned,(4) Not too difficult,(3) Sometimes,(3) Some accounts,(5) No accounts,(5) No accounts,(5) No accounts,(3) Only a little,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(3) I have not done this and I have not considered it,(1) Very large,(5) None at all,(1) Very large,(5) None at all,"(1) It’s better to keep services provided by online companies such as Google and Facebook free and accessible to anyone who wants to access these services, even if it means your private information might be sold to a third party.",(4) Somewhat too little,(3) Moderately important,(3) Moderately important,(4) Very important,(4) Very important,(2) Slightly important,(4) Very important,(3) Moderately important,(3) Neither support nor oppose,(3) Only a little,(4) Somewhat disapprove,(2) Large,(2) Large,(2) Large,(2) Large,(2) Republican,,(2) Moderate Republican,,(1) Yes,(1) Yes,(2) No,(2) No,(2) Conservative,(3) Rural area,(3) Divorced,(2) 30-39,(1) Employed,(3) Some college,"(1) White, non-Hispanic","(4) $30,000 to under $40,000",(1) Male,(WI) Wisconsin,(2) Midwest
2596,0.3596642783,77714.296745,(2) Web Interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(4) Somewhat worse,(4) Somewhat worse,(4) Somewhat worse,(4) Somewhat worse,(5) Much worse,(4) Somewhat worse,(1) Yes,(2) Several times a day,(7) Do not have account,(6) Never,(7) Do not have account,(7) Do not have account,(7) Do not have account,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(3) Moderately concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(4) Not too difficult,(3) Sometimes,(2) Most accounts,(3) Some accounts,(5) No accounts,(2) Most accounts,(1) A lot,(2) I have not done this but I have considered it,(1) I have done this,(3) I have not done this and I have not considered it,(1) I have done this,(1) I have done this,(2) I have not done this but I have considered it,(1) Very large,(1) Very large,(1) Very large,(1) Very large,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(5) Far too little,(1) Not at all important,(3) Moderately important,(2) Slightly important,(3) Moderately important,(1) Not at all important,(3) Moderately important,(2) Slightly important,(2) Somewhat support,(2) Some,(2) Somewhat approve,(2) Large,(2) Large,(2) Large,(4) Small,(1) Democrat,(2) Moderate Democrat,,,(2) No,,,,(3) Moderate,(2) Suburban area,(1) Married,(3) 40-59,(1) Employed,(3) Some college,"(1) White, non-Hispanic","(8) $100,000 to under $150,000",(2) Female,(CA) California,(4) West
2604,0.4560502722,98540.856911,(1) Phone interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(4) Somewhat worse,(4) Somewhat worse,(3) About the same,(4) Somewhat worse,(4) Somewhat worse,(4) Somewhat worse,(2) No,,,,,,,,,,,,,,,,,,,,,,,(2) Some,,,,,,,(1) Very large,(4) Small,(2) Large,(5) None at all,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(5) Far too little,(3) Moderately important,(3) Moderately important,(5) Extremely important,(3) Moderately important,(3) Moderately important,(4) Very important,(4) Very important,(3) Neither support nor oppose,(2) Some,(3) Neither approve nor disapprove,(3) Moderate,(3) Moderate,(1) Very large,(3) Moderate,(1) Democrat,(1) Strong Democrat,,,(2) No,,,,(3) Moderate,(2) Suburban area,(5) Never married,(3) 40-59,(2) Not employed,(3) Some college,"(1) White, non-Hispanic","(2) $10,000 to under $20,000",(1) Male,(KS) Kansas,(2) Midwest
2605,1.6657922092,359935.30042,(2) Web Interview,(1) English,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),,,,,,,,,,,,,,,,,,,,,,,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),,,,,,,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),,,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),,,,(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(99) DON’T KNOW/SKIPPED/REFUSED (VOL),(6) Living with partner,(1) 18-29,(1) Employed,(3) Some college,"(1) White, non-Hispanic","(6) $50,000 to under $75,000",(2) Female,(SD) South Dakota,(2) Midwest
2607,0.4200711301,90766.680004,(2) Web Interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(5) Much worse,(4) Somewhat worse,(1) Much better,(5) Much worse,(5) Much worse,(5) Much worse,(1) Yes,(5) Less often,(6) Never,(6) Never,(6) Never,(6) Never,(6) Never,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(1) Extremely concerned,(3) Moderately difficult,(1) Always,(2) Most accounts,(5) No accounts,(1) All accounts,(5) No accounts,(2) Some,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(1) I have done this,(2) I have not done this but I have considered it,(2) I have not done this but I have considered it,(1) Very large,(1) Very large,(1) Very large,(1) Very large,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(5) Far too little,(3) Moderately important,(5) Extremely important,(5) Extremely important,(3) Moderately important,(3) Moderately important,(5) Extremely important,(4) Very important,(1) Strongly support,(2) Some,(1) Strongly approve,(1) Very large,(1) Very large,(1) Very large,(1) Very large,(1) Democrat,(1) Strong Democrat,,,(2) No,,,,(1) Liberal,(2) Suburban area,(5) Never married,(2) 30-39,(1) Employed,(3) Some college,(4) Other,"(3) $20,000 to under $30,000",(1) Male,(IL) Illinois,(2) Midwest
2608,1.4350469094,310077.11381,(2) Web Interview,(1) English,(2) Wrong direction,(7) Strongly disapprove,(5) Much worse,(5) Much worse,(4) Somewhat worse,(4) Somewhat worse,(5) Much worse,(5) Much worse,(1) Yes,(1) Almost constantly,(6) Never,(6) Never,(7) Do not have account,(7) Do not have account,(7) Do not have account,(4) Not very concerned,(4) Not very concerned,(4) Not very concerned,(4) Not very concerned,(4) Not very concerned,(4) Not very concerned,(4) Not very concerned,(3) Moderately concerned,(4) Not very concerned,(4) Not very concerned,(4) Not too difficult,(5) Never,(4) A few accounts,(5) No accounts,(5) No accounts,(5) No accounts,(4) Nothing at all,,,,,,,(2) Large,(5) None at all,(3) Moderate,(4) Small,"(2) Online companies such as Google and Facebook should not sell your private information to a third party, even if it means charging a fee to use their services that some people might not be able to afford.",(5) Far too little,(2) Slightly important,(3) Moderately important,(3) Moderately important,(3) Moderately important,(2) Slightly important,(3) Moderately important,(4) Very important,(1) Strongly support,(4) Nothing at all,(1) Strongly approve,(3) Moderate,(3) Moderate,(3) Moderate,(3) Moderate,(3) Independent,,,(1) Lean Democrat,(1) Yes,(1) Yes,(2) No,(2) No,(3) Moderate,(2) Suburban area,(1) Married,(1) 18-29,(2) Not employed,(2) High school graduate or equivalent,"(1) White, non-Hispanic","(2) $10,000 to under $20,000",(2) Female,(NH) New Hampshire,(1) Northeast
